"Story","Title","Result","Date","Stability","Duration (s)"
"Book flight","Book a flight in Despegar from Medellin to Santa Marta","SUCCESS","2021-03-29T16:56:50.696-05:00[America/Bogota]","0.0","35.78"
"Book room","Book a room in Despegar in Santa Marta","SUCCESS","2021-03-29T16:57:27.471-05:00[America/Bogota]","0.0","37.2"
